赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2017,38,8,温哥华白帽,52,34,15,7,12,50,49
2017,38,9,休斯顿迪纳摩,50,34,13,11,10,57,45
2017,38,10,纽约红牛,50,34,14,8,12,53,47
2017,38,11,堪萨斯城竞技,49,34,12,13,9,40,29
2017,38,12,圣何塞地震,46,34,13,7,14,39,60
2017,38,13,达拉斯FC,46,34,11,13,10,48,48
2017,38,14,皇家盐湖城,45,34,13,6,15,49,55
2017,38,15,新英格兰革命,45,34,13,6,15,53,61
2017,38,16,费城联合,42,34,11,9,14,50,47
2017,38,17,蒙特利尔冲击,39,34,11,6,17,52,58
2017,38,18,奥兰多城,39,34,10,9,15,39,58
2017,38,19,明尼苏达联,36,34,10,6,18,47,70
2017,38,20,科罗拉多急流,33,34,9,6,19,31,51
2017,38,21,洛杉矶银河,32,34,8,8,18,45,67
2017,38,22,华盛顿联,32,34,9,5,20,31,60
2018,38,1,亚特兰大联,37,18,11,4,3,38,20
2018,38,2,纽约红牛,32,16,10,2,4,34,16
2018,38,3,堪萨斯城竞技,32,17,9,5,3,31,18
2018,38,4,达拉斯FC,32,16,9,5,2,25,17
2018,38,5,洛杉矶FC,31,17,9,4,4,37,27
2018,38,6,纽约城,31,17,9,4,4,34,24
2018,38,7,哥伦布机员,30,19,8,6,5,24,19
2018,38,8,新英格兰革命,27,17,7,6,4,30,25
2018,38,9,波特兰伐木工,26,15,7,5,3,24,21
2018,38,10,芝加哥火焰,23,18,6,5,7,27,31
2018,38,11,温哥华白帽,23,18,6,5,7,26,35
2018,38,12,皇家盐湖城,23,17,7,2,8,21,32
2018,38,13,休斯顿迪纳摩,22,16,6,4,6,33,26
2018,38,14,洛杉矶银河,21,16,6,3,7,25,26
2018,38,15,费城联合,21,17,6,3,8,21,25
2018,38,16,蒙特利尔冲击,21,18,7,0,11,22,31
2018,38,17,奥兰多城,19,17,6,1,10,24,37
2018,38,18,明尼苏达联,16,16,5,1,10,19,30
2018,38,19,多伦多FC,15,16,4,3,9,24,30
2018,38,20,科罗拉多急流,15,16,4,3,9,20,28
2018,38,21,圣何塞地震,12,17,2,6,9,28,35
2018,38,22,西雅图海湾人,12,15,3,3,9,13,21
2018,38,23,华盛顿联,10,13,2,4,7,21,27
